id,platform,video_id,video_url
124,youtube,6ruMxEVaze8,https://youtu.be/6ruMxEVaze8
125,youtube,l5JGVfTESWE,https://youtu.be/l5JGVfTESWE
126,youtube,Hem5w9V_jbk,https://youtu.be/Hem5w9V_jbk
127,youtube,HsOh7UBL7WM,https://youtu.be/HsOh7UBL7WM
128,youtube,3fN56-DN2wE,https://youtu.be/3fN56-DN2wE
129,youtube,rFtIl6sQ04Y,https://youtu.be/rFtIl6sQ04Y
130,youtube,dOruma-WQ3I,https://youtu.be/dOruma-WQ3I
131,youtube,Kk7aa7W-KRM,https://youtu.be/Kk7aa7W-KRM
132,youtube,sGnIhvo_Zj4,https://youtu.be/sGnIhvo_Zj4
133,youtube,hNrdyw-XFUY,https://youtu.be/hNrdyw-XFUY
134,youtube,R-k1mWK_Cps,https://youtu.be/R-k1mWK_Cps
135,youtube,jt7KaOq5D88,https://youtu.be/jt7KaOq5D88
136,youtube,LdNIjnxVeHo,https://youtu.be/LdNIjnxVeHo
137,youtube,WpsIb45mPEs,https://youtu.be/WpsIb45mPEs
138,youtube,wqrAsFz3DdY,https://youtu.be/wqrAsFz3DdY
139,youtube,ffttbEhMF2s,https://youtu.be/ffttbEhMF2s
140,youtube,dMvW5TJbFeA,https://youtu.be/dMvW5TJbFeA
141,youtube,qzAJ_Evf6m8,https://youtu.be/qzAJ_Evf6m8
142,youtube,6eZcqot-XFc,https://youtu.be/6eZcqot-XFc
143,youtube,MLgmShIIfH0,https://youtu.be/MLgmShIIfH0
144,youtube,AAvQiK5xCSk,https://youtu.be/AAvQiK5xCSk
145,youtube,vVUKPLwQJG4,https://youtu.be/vVUKPLwQJG4
146,youtube,BkU-8xDkcow,https://youtu.be/BkU-8xDkcow
147,youtube,3kqcz5u4sg4,https://youtu.be/3kqcz5u4sg4
148,youtube,8AFG1iMTHW8,https://youtu.be/8AFG1iMTHW8
149,youtube,EQdnxzgG1Z0,https://youtu.be/EQdnxzgG1Z0
150,youtube,lpsxi4IUt8k,https://youtu.be/lpsxi4IUt8k
151,youtube,J7klQwbliP4,https://youtu.be/J7klQwbliP4
152,youtube,sf557-IqObg,https://youtu.be/sf557-IqObg
153,youtube,z0-WHbnElJA,https://youtu.be/z0-WHbnElJA
